h3_index,location_name,borough,street
871ad3118ffffff,"WEST SHORE EXPRESSWAY         , Unknown",Unknown,WEST SHORE EXPRESSWAY           
872649320ffffff,Unknown,Unknown,
872a10000ffffff,"CITY ISLAND AVENUE            , BRONX",BRONX,CITY ISLAND AVENUE              
872a10002ffffff,"BRUCKNER EXPRESSWAY           , BRONX",BRONX,BRUCKNER EXPRESSWAY             
872a10003ffffff,"CITY ISLAND AVENUE            , BRONX",BRONX,CITY ISLAND AVENUE              
872a10006ffffff,"SHORE ROAD                    , BRONX",BRONX,SHORE ROAD                      
872a10008ffffff,QUEENS,QUEENS,
872a10009ffffff,"WEST DRIVE                    , QUEENS",QUEENS,WEST DRIVE                      
872a1000affffff,"THROGS NECK BRIDGE            , QUEENS",QUEENS,THROGS NECK BRIDGE              
872a1000bffffff,"CROSS ISLAND PARKWAY          , QUEENS",QUEENS,CROSS ISLAND PARKWAY            
872a10010ffffff,"EAST GUN HILL ROAD            , BRONX",BRONX,EAST GUN HILL ROAD              
872a10011ffffff,"EASTCHESTER ROAD              , BRONX",BRONX,EASTCHESTER ROAD                
872a10012ffffff,"JEROME AVENUE                 , BRONX",BRONX,JEROME AVENUE                   
872a10013ffffff,"BRONX RIVER PARKWAY           , BRONX",BRONX,BRONX RIVER PARKWAY             
872a10014ffffff,"EAST 233 STREET               , BRONX",BRONX,EAST 233 STREET                 
872a10015ffffff,"BOSTON ROAD                   , BRONX",BRONX,BOSTON ROAD                     
872a10016ffffff,"EAST 233 STREET               , BRONX",BRONX,EAST 233 STREET                 
872a10018ffffff,"BRUCKNER BOULEVARD            , BRONX",BRONX,BRUCKNER BOULEVARD              
872a10019ffffff,"BRONX WHITESTONE BRIDGE       , QUEENS",QUEENS,BRONX WHITESTONE BRIDGE         
872a1001affffff,"BRUCKNER BOULEVARD            , BRONX",BRONX,BRUCKNER BOULEVARD              
872a1001bffffff,"SOUNDVIEW AVENUE              , BRONX",BRONX,SOUNDVIEW AVENUE                
872a1001cffffff,"EAST TREMONT AVENUE           , BRONX",BRONX,EAST TREMONT AVENUE             
872a1001dffffff,"EAST TREMONT AVENUE           , BRONX",BRONX,EAST TREMONT AVENUE             
872a1001effffff,"CROSS BRONX EXPY              , BRONX",BRONX,CROSS BRONX EXPY                
872a10033ffffff,"HUTCHINSON RIVER PARKWAY      , BRONX",BRONX,HUTCHINSON RIVER PARKWAY        
872a10040ffffff,"Dyckman Ave                   , Unknown",Unknown,Dyckman Ave                     
872a10042ffffff,"HILLSIDE AVENUE               , QUEENS",QUEENS,HILLSIDE AVENUE                 
872a10046ffffff,"UNION TURNPIKE                , QUEENS",QUEENS,UNION TURNPIKE                  
872a10050ffffff,"LONG ISLAND EXPRESSWAY        , QUEENS",QUEENS,LONG ISLAND EXPRESSWAY          
872a10051ffffff,"HILLSIDE AVENUE               , QUEENS",QUEENS,HILLSIDE AVENUE                 
872a10052ffffff,"LONG ISLAND EXPRESSWAY        , QUEENS",QUEENS,LONG ISLAND EXPRESSWAY          
872a10053ffffff,"HILLSIDE AVENUE               , QUEENS",QUEENS,HILLSIDE AVENUE                 
872a10054ffffff,"NORTHERN BOULEVARD            , QUEENS",QUEENS,NORTHERN BOULEVARD              
872a10055ffffff,"GRAND CENTRAL PKWY            , QUEENS",QUEENS,GRAND CENTRAL PKWY              
872a10056ffffff,"NORTHERN BOULEVARD            , QUEENS",QUEENS,NORTHERN BOULEVARD              
872a10058ffffff,"LINDEN BOULEVARD              , QUEENS",QUEENS,LINDEN BOULEVARD                
872a10059ffffff,"LAURELTON PARKWAY             , QUEENS",QUEENS,LAURELTON PARKWAY               
872a1005affffff,"FARMERS BOULEVARD             , QUEENS",QUEENS,FARMERS BOULEVARD               
